word1,word2,sim
маг,волшебник,0.958333
машина,автомобиль,0.952381
мальчик,парень,0.952381
доллар,бакс,0.952381
расположение,размещение,0.916667
расчет,вычисление,0.916667
побережье,берег,0.904762
жидкость,вода,0.904762
чемпионат,турнир,0.888889
тигр,тигр,0.875
поездка,путешествие,0.857143
тип,вид,0.851852
деньги,богатство,0.851852
футбол,мини-футбол,0.833333
ребенок,мать,0.814815
марафон,спринт,0.809524
убийство,кровопролитие,0.791667
улица,проспект,0.791667
миля,километр,0.791667
король,королева,0.791667
деньги,валюта,0.777778
морепродукт,омар,0.761905
алюминий,металл,0.761905
чашка,посуда,0.761905
деньги,наличные,0.75
птица,журавль,0.75
водка,джин,0.714286
птица,петух,0.714286
омар,еда,0.708333
ягуар,кошка,0.708333
тигр,кошка,0.708333
тигр,ягуар,0.708333
теннис,ракетка,0.7
лес,лесопарк,0.666667
еда,фрукт,0.666667
новость,сообщение,0.666667
война,войска,0.666667
книга,библиотека,0.666667
тигр,кошачьи,0.666667
век,год,0.666667
улица,квартал,0.666667
доллар,йена,0.666667
мексика,бразилия,0.666667
мобильный,телефон,0.641026
морепродукт,море,0.636364
деньги,доллар,0.636364
банк,деньги,0.636364
камень,драгоценность,0.625
водка,бренди,0.625
деньги,банк,0.625
компания,фонд,0.625
объявление,предупреждение,0.625
психология,наука,0.625
морепродукт,еда,0.625
тигр,млекопитающее,0.625
тигр,хищник,0.625
психология,дисциплина,0.625
иерусалим,израиль,0.622222
студент,профессор,0.619048
тигр,фауна,0.619048
лечение,восстановление,0.619048
напиток,пища,0.619048
страна,гражданин,0.619048
тигр,животное,0.619048
планета,звезда,0.619048
доктор,медсестра,0.619048
инструмент,приспособление,0.615385
марадона,футбол,0.604167
ливень,гроза,0.6
день,полдень,0.6
природа,среда,0.6
кино,театр,0.6
огурец,картофель,0.583333
футбол,теннис,0.583333
сми,радио,0.583333
чашка,кофе,0.583333
компьютер,программа,0.583333
деньги,имущество,0.583333
психология,фрейд,0.583333
ливень,наводнение,0.583333
компьютер,клавиатура,0.583333
психология,сознание,0.583333
планета,космос,0.583333
шкаф,одежда,0.583333
мужчина,женщина,0.571429
любовь,секс,0.571429
фбр,расследование,0.555556
телевидение,фильм,0.555556
бокс,раунд,0.555556
компьютер,интернет,0.555556
книга,бумага,0.555556
король,ладья,0.555556
доктор,персонал,0.555556
психология,психиатрия,0.555556
дивиденд,выплата,0.555556
зритель,сериал,0.545455
игра,победа,0.541667
кровать,шкаф,0.541667
поездка,машина,0.541667
печь,плита,0.537037
прецедент,право,0.533333
сеть,аппаратура,0.533333
объявление,новости,0.533333
иерусалим,палестинец,0.533333
наркотик,злоупотребление,0.533333
закон,юрист,0.52381
епископ,раввин,0.52381
планета,луна,0.52381
рок,джаз,0.52381
жизнь,смерть,0.521739
планета,астроном,0.518519
телефон,сообщение,0.518519
жертва,авария,0.518519
территория,километр,0.518519
планета,солнце,0.518519
деньги,депозит,0.518519
ягуар,автомобиль,0.515152
прибыль,убыток,0.511111
инсульт,больница,0.5
кино,критик,0.5
юрист,доказательство,0.5
стекло,металл,0.5
прецедент,пример,0.491228
брат,монах,0.490196
еда,приготовление,0.488889
погода,прогноз,0.487179
физика,химия,0.487179
музей,театр,0.484848
телевидение,радио,0.481481
физика,протон,0.479167
игра,поражение,0.472222
министр,партия,0.466667
прецедент,познание,0.466667
награда,мужество,0.458333
психология,депрессия,0.458333
инвалидность,смерть,0.458333
психология,клиника,0.458333
чашка,напиток,0.458333
планета,галактика,0.458333
отель,бронирование,0.458333
хлеб,масло,0.458333
фбр,улика,0.454545
улица,место,0.444444
профессор,доктор,0.444444
игра,раунд,0.444444
среда,экология,0.444444
день,рассвет,0.444444
чашка,предмет,0.428571
концерт,виртуоз,0.428571
арафат,терроризм,0.428571
игра,команда,0.428571
планета,созвездие,0.416667
планета,люди,0.416667
допуск,билет,0.416667
телефон,оборудование,0.416667
поезд,машина,0.416667
опек,нефть,0.404762
компьютер,лаборатория,0.4
блядь,секс,0.4
космос,мир,0.395833
гарвард,йель,0.384615
тигр,зоопарк,0.380952
вода,утечка,0.380952
самолет,машина,0.380952
больница,инфраструктура,0.380952
японец,американец,0.377778
чашка,еда,0.375
каньон,пейзаж,0.375
бой,поражение,0.375
футбол,баскетбол,0.375
проблема,вызов,0.375
психология,страх,0.375
опек,страна,0.37037
умник,глупец,0.366667
психология,здоровье,0.363636
инвестор,заработок,0.363636
марс,ученый,0.358974
деньги,снятие,0.355556
деньги,отмывание,0.351852
конкуренция,цена,0.333333
тигр,организм,0.333333
чашка,вещь,0.333333
потребитель,энергия,0.333333
парень,брат,0.333333
выставка,реликвия,0.333333
алкоголь,химия,0.333333
лето,природа,0.333333
перечисление,категория,0.333333
энергия,лаборатория,0.333333
чашка,жидкость,0.333333
любовник,ссора,0.333333
кино,попкорн,0.333333
сохранение,мир,0.333333
психология,тревога,0.333333
фонд,рынок,0.333333
валюта,рынок,0.333333
доллар,прибыль,0.333333
деньги,владение,0.333333
лето,засуха,0.333333
